VDC,VDC Surge Voltage,Rated Capacitance 120 Hz 20°C (µF),Case Size D x L (mm),DF 120 Hz 20°C (tan δ %)*,RC 100 kHz 105°C (mA),ESR 100 kHz 20°C (Ω),LC 20°C 2 Minutes (µA),Part Number
350,400,68.0,12.5x50,20,880,1.38,486.0,ESL686M350AKB(1)
350,400,68.0,18x25,20,880,1.38,486.0,ESL686M350AN5AA
350,400,82.0,18x30,20,940,1.38,584.0,ESL826M350AN8AA
350,400,100.0,18x35,20,1120,1.25,710.0,ESL107M350ANAAA
350,400,120.0,18x35,20,1200,1.25,850.0,ESL127M350ANAAA
400,450,1.0,6.3x11,20,65,25.0,18.0,ESL105M400AE3(1)
400,450,1.2,6.3x11,20,70,25.0,19.6,ESL125M400AE3(1)
400,450,1.5,6.3x11,20,75,25.0,22.0,ESL155M400AE3(1)
400,450,1.8,6.3x11,20,85,25.0,24.4,ESL185M400AE3(1)
400,450,2.2,8x11.5,20,90,20.0,27.6,ESL225M400AGM(1)
400,450,2.7,8x11.5,20,95,15.72,31.6,ESL275M400AGM(1)
400,450,3.3,8x11.5,20,100,15.72,36.4,ESL335M400AGM(1)
400,450,3.9,8x11.5,20,105,15.72,41.2,ESL395M400AGM(1)
400,450,4.7,8x11.5,20,110,12.0,47.6,ESL475M400AGM(1)
400,450,4.7,8x16,20,115,12.0,47.6,ESL475M400AG8(1)
400,450,5.6,10x12.5,20,180,10.5,54.8,ESL565M400AH9(1)
400,450,5.6,8x16,20,160,10.51,54.8,ESL565M400AG8(1)
400,450,6.8,10x16,20,220,8.7,64.4,ESL685M400AH8(1)
400,450,6.8,8x20,20,180,8.7,64.4,ESL685M400AG6(1)
400,450,8.2,10x16,20,252,7.5,75.6,ESL825M400AH8(1)
400,450,10.0,10x20,20,288,4.9,90.0,ESL106M400AH4(1)
400,450,15.0,12.5x20,20,400,4.2,130.0,ESL156M400AK5(1)
400,450,18.0,12.5x20,20,470,4.2,154.0,ESL186M400AK5(1)
400,450,22.0,12.5x25,20,475,2.25,186.0,ESL226M400AK1(1)
400,450,22.0,8x50,20,475,2.25,186.0,ESL226M400AGG(1)
400,450,33.0,10x50,20,610,1.7,274.0,ESL336M400AHE(1)
400,450,33.0,16x25,20,610,1.7,274.0,ESL336M400AM7AA
400,450,47.0,18x25,20,795,1.7,386.0,ESL476M400AN5AA
400,450,56.0,12.5x50,20,820,1.7,458.0,ESL566M400AKB(1)
400,450,56.0,16x30,20,820,1.7,458.0,ESL566M400AM9AA
400,450,68.0,18x30,20,910,1.38,554.0,ESL686M400AN8AA
400,450,82.0,16x40,20,980,1.25,666.0,ESL826M400AM4AA
400,450,82.0,18x35,20,980,1.25,666.0,ESL826M400ANAAA
400,450,100.0,18x40,20,1100,0.97,810.0,ESL107M400AN3AA
450,500,1.2,6.3x11,20,55,25.0,20.8,ESL125M450AE3(1)
450,500,1.5,8x11.5,20,80,25.0,23.5,ESL155M450AGM(1)
450,500,1.8,8x11.5,20,85,20.0,26.2,ESL185M450AGM(1)
450,500,2.2,8x16,20,95,15.72,29.8,ESL225M450AG8(1)
450,500,2.7,8x16,20,100,15.72,34.3,ESL275M450AG8(1)
450,500,3.3,8x16,20,110,15.72,39.7,ESL335M450AG8(1)
450,500,3.9,8x16,20,120,15.72,45.1,ESL395M450AG8(1)
450,500,4.7,10x16,20,150,10.51,52.3,ESL475M450AH8(1)
450,500,4.7,8x20,20,150,10.51,52.3,ESL475M450AG6(1)
450,500,5.6,10x16,20,180,7.5,60.4,ESL565M450AH8(1)
450,500,5.6,8x20,20,180,7.5,60.4,ESL565M450AG6(1)
450,500,6.8,10x16,20,220,7.5,71.2,ESL685M450AH8(1)
450,500,8.2,10x20,20,265,6.2,83.8,ESL825M450AH4(1)
450,500,10.0,10x25,20,305,6.2,100.0,ESL106M450AH5(1)
450,500,10.0,12.5x20,20,305,5.2,100.0,ESL106M450AK5(1)
450,500,15.0,12.5x20,20,400,5.2,145.0,ESL156M450AK5(1)
450,500,15.0,8x50,20,400,5.2,145.0,ESL156M450AGG(1)
450,500,18.0,12.5x25,20,470,3.6,172.0,ESL186M450AK1(1)
450,500,22.0,10x40,20,550,2.02,208.0,ESL226M450AHB(1)
450,500,22.0,16x20,20,550,2.02,208.0,ESL226M450AM5AA
450,500,33.0,10x50,20,665,1.82,307.0,ESL336M450AHE(1)
450,500,33.0,16x25,20,665,1.82,307.0,ESL336M450AM7AA
450,500,47.0,12.5x50,20,730,1.38,433.0,ESL476M450AKB(1)
450,500,47.0,16x35,20,730,1.38,433.0,ESL476M450AMPAA
450,500,56.0,16x35,20,750,1.38,514.0,ESL566M450AMPAA
450,500,68.0,18x35,20,970,1.25,622.0,ESL686M450ANAAA
450,500,82.0,18x40,20,1030,0.97,748.0,ESL826M450AN3AA
